"Model Year","Vehicle Manufacturer Name","Veh Mfr Code","Represented Test Veh Make","Represented Test Veh Model","Test Vehicle ID","Test Veh Configuration #","Test Veh Displacement (L)","Actual Tested Testgroup","Vehicle Type","Rated Horsepower","# of Cylinders and Rotors","Engine Code","Tested Transmission Type Code","Tested Transmission Type","# of Gears","Transmission Lockup?","Drive System Code","Drive System Description","Transmission Overdrive Code","Transmission Overdrive Desc","Equivalent Test Weight (lbs.)","Axle Ratio","N/V Ratio","Shift Indicator Light Use Cd","Shift Indicator Light Use Desc","Test Number","Test Originator","Analytically Derived FE?","ADFE Test Number","ADFE Total Road Load HP","ADFE Equiv. Test Weight (lbs.)","ADFE N/V Ratio","Test Procedure Cd","Test Procedure Description","Test Fuel Type Cd","Test Fuel Type Description","Test Category","THC (g/mi)","CO (g/mi)","CO2 (g/mi)","NOx (g/mi)","PM (g/mi)","CH4 (g/mi)","N2O (g/mi)","RND_ADJ_FE","FE_UNIT","FE Bag 1","FE Bag 2","FE Bag 3","FE Bag 4","DT-Inertia Work Ratio Rating","DT-Absolute Speed Change Ratg","DT-Energy Economy Rating","Target Coef A (lbf)","Target Coef B (lbf/mph)","Target Coef C (lbf/mph**2)","Set Coef A (lbf)","Set Coef B (lbf/mph)","Set Coef C (lbf/mph**2)","Aftertreatment Device Cd","Aftertreatment Device Desc","Police - Emergency Vehicle?","Averaging Group ID","Averaging Weighting Factor","Averaging Method Cd","Averging Method Desc"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024685","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.03664,0.0848,247.97,0.0093,0.00022,0.0286,0.01,41,"MPG",42.03,38.05,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"SCR","Selective Catalytic Reduction","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024685","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.03664,0.0848,247.97,0.0093,0.00022,0.0286,0.01,41,"MPG",42.03,38.05,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"DPF","Diesel Particulate Filter","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024685","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.03664,0.0848,247.97,0.0093,0.00022,0.0286,0.01,41,"MPG",42.03,38.05,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"NOXAD","NOx Adsorber","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024685","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.03664,0.0848,247.97,0.0093,0.00022,0.0286,0.01,41,"MPG",42.03,38.05,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"OC","Oxidation catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024686","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.00188,0.0078,154.67,0.0003,,0.002,0.01,65.6,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"NOXAD","NOx Adsorber","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024686","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.00188,0.0078,154.67,0.0003,,0.002,0.01,65.6,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"DPF","Diesel Particulate Filter","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024686","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.00188,0.0078,154.67,0.0003,,0.002,0.01,65.6,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"SCR","Selective Catalytic Reduction","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",2,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024686","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.00188,0.0078,154.67,0.0003,,0.002,0.01,65.6,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"OC","Oxidation catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",3,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.1,"1","Not eqipped","EBMX10024743","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.02485,0.0386,240.2,0.0244,0.00061,0.01965,0.01,42.4,"MPG",41.5,40.51,46.89,,,,,47.1,-0.35,0.02079,17.1,-0.074,0.01688,"OC","Oxidation catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",3,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.1,"1","Not eqipped","EBMX10024743","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.02485,0.0386,240.2,0.0244,0.00061,0.01965,0.01,42.4,"MPG",41.5,40.51,46.89,,,,,47.1,-0.35,0.02079,17.1,-0.074,0.01688,"NOXAD","NOx Adsorber","N","",,"N","No averaging"
